date,back-and-superman,superman-is-included,ankle-arms,errors,planned-date,planned-back-and-superman,planned-superman-is-included,planned-ankle-arms,Unnamed: 9,Unnamed: 10
27-6-2024,4.0,,,,27-6-2024,,,,,
29-6-2024,6.0,,,,29-6-2024,,,,,
1-7-2024,8.0,,,,1-7-2024,,,,,
2-7-2024,1.0,,,,2-7-2024,,,,,
3-7-2024,7.0,yes,,,3-7-2024,,,,,
6-7-2024,7.0,,,,6-7-2024,,,,,
8-7-2024,8.0,yes,,,8-7-2024,,,,,
9-7-2024,3.0,,,,9-7-2024,,,,,
10-7-2024,5.0,yes,,,10-7-2024,,,,,
12-7-2024,8.0,,,,12-7-2024,,,,,
14-7-2024,8.0,yes,,,14-7-2024,,,,,
16-7-2024,8.0,yes,,,16-7-2024,,,,,
18-7-2024,9.0,yes,,,18-7-2024,,,,,
20-7-2024,10.0,,,,20-7-2024,,,,,
22-7-2024,7.0,yes,,,22-7-2024,,,,,
23-7-2024,3.0,,,,23-7-2024,,,,,
24-7-2024,12.0,yes,,,24-7-2024,,,,,
25-7-2024,3.0,(11 en app pq anyadi los del dia siguiente),,,25-7-2024,,,,,
26-7-2024,8.0,(0 en app pq anyadi los 8 de este dia al dia anterior),,,26-7-2024,,,,,
28-7-2024,8.0,yes,,,28-7-2024,,,,,
29-7-2024,3.0,,,,29-7-2024,,,,,
30-7-2024,2.0,yes,1.0,,30-7-2024,,,,,
1-8-2024,7.0,,,,1-8-2024,,,,,
2-8-2024,3.0,,,,2-8-2024,,,,,
3-8-2024,8.0,yes,,,3-8-2024,,,,,
4-8-2024,4.0,,4.0,,4-8-2024,,,,,
5-8-2024,4.0,yes,,,5-8-2024,,,,,
6-8-2024,7.0,,,,6-8-2024,,,,,
7-8-2024,,,4.0,,7-8-2024,,,,,
8-8-2024,7.0,yes,6.0,,8-8-2024,,,,,
9-8-2024,,,3.0,"""+5 por error""",9-8-2024,,,,,
10-8-2024,7.0,yes,5.0,,10-8-2024,,,,,
11-8-2024,,,12.0,"""+2 por error""",11-8-2024,,,,,
12-8-2024,7.0,,3.0,"""+3 por error""",12-8-2024,,,,,
13-8-2024,,,3.0,,13-8-2024,,,,-32.0,
14-8-2024,8.0,yes,6.0,,14-8-2024,,,,6.0,
15-8-2024,,,12.0,,15-8-2024,,,,10.0,
16-8-2024,7.0,,2.0,,16-8-2024,6.0,,,3.0,- empezando por los abduccion de cadera
17-8-2024,,,,,17-8-2024,,,,,correr
18-8-2024,8.0,yes,4.0,"""+3 por error""",18-8-2024,,,,3.0,
19-8-2024,,,10.0,,19-8-2024,,,,10.0,
20-8-2024,7.0,yes,4.0,,,,,,0.0,
